Idiom,Meaning,Transliteration,Translated
A blessing in disguise,a good thing that seemed bad at first,A blessing in disguise,आशीर्वाद में आशीर्वाद
A dime a dozen,Something common,A dime a dozen,दसवीं शताब्दी
Beat around the bush,"Avoid saying what you mean, usually because it is uncomfortable",Beat around the bush,बश के चारों ओर घूमना
Better late than never,Better to arrive late than not to come at all,Better late than never,कभी नहीं देर से बेहतर
Bite the bullet,To get something over with because it is inevitable,Bite the bullet,गेंद को मारना
Break a leg,Good luck,Break a leg,एक पैर तोड़ना
Call it a day,Stop working on something,Call it a day,इसे एक दिन बुलाओ
Cut somebody some slack,Don't be so critical,Cut somebody some slack,किसी को कटौती करें
Cutting corners,Doing something poorly in order to save time or money,Cutting corners,कोनों को काटने
Easy does it,Slow down,Easy does it,आसानी से किया जाता है
Get out of hand,Get out of control,Get out of hand,हाथ से बाहर निकलें
Get something out of your system,Do the thing you've been wanting to do so you can move on,Get something out of your system,अपने सिस्टम से कुछ निकालें
Get your act together,Work better or leave,Get your act together,अपने कार्य को एक साथ रखें
Give someone the benefit of the doubt,Trust what someone says,Give someone the benefit of the doubt,किसी को संदेह का लाभ देना
Go back to the drawing board,Start over,Go back to the drawing board,ड्राइंग बोर्ड पर लौटें
Hang in there,Don't give up,Hang in there,वहां लटका हुआ
Hit the sack,Go to sleep,Hit the sack,बैग को हिट करें
It's not rocket science,It's not complicated,It's not rocket science,यह रॉकेट विज्ञान नहीं है
Let someone off the hook,To not hold someone responsible for something,Let someone off the hook,किसी को गड्ढे से बाहर निकालें
Make a long story short,Tell something briefly,Make a long story short,एक लंबी कहानी छोटी बनाएं
Miss the boat,It's too late,Miss the boat,मिस जहाज
"No pain, no gain",You have to work for what you want,"No pain, no gain","कोई दर्द नहीं, कोई लाभ नहीं"
On the ball,Doing a good job,On the ball,गेंद पर
Pull someone's leg,To joke with someone,Pull someone's leg,किसी के पैर को छूना
Pull yourself together,Calm down,Pull yourself together,खुद को एक साथ रखें
So far so good,Things are going well so far,So far so good,अब तक इतनी अच्छी
Speak of the devil,The person we were just talking about showed up!,Speak of the devil,शैतान की बात
That's the last straw,My patience has run out,That's the last straw,यह आखिरी टुकड़ा है
The best of both worlds,An ideal situation,The best of both worlds,दोनों दुनिया का सबसे अच्छा
Time flies when you're having fun,You don't notice how long something lasts when it's fun,Time flies when you're having fun,समय उड़ता है जब आप मज़े कर रहे हैं
To get bent out of shape,To get upset,To get bent out of shape,आकार से बाहर निकलने के लिए
To make matters worse,Make a problem worse,To make matters worse,चीजों को बदतर बनाने के लिए
Under the weather,Sick,Under the weather,मौसम में
We'll cross that bridge when we come to it,Let's not talk about that problem right now,We'll cross that bridge when we come to it,हम उस पुल को पार करेंगे जब हम उस तक पहुंच जाएंगे
Wrap your head around something,Understand something complicated,Wrap your head around something,अपने सिर को कुछ के चारों ओर घुमाएं
You can say that again,"That's true, I agree",You can say that again,आप फिर से कह सकते हैं
Your guess is as good as mine,I have no idea,Your guess is as good as mine,आपका अनुमान मेरे जैसा अच्छा है
A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,A bird in the hand is worth two in the bush,हाथ में एक पक्षी बश में दो के लायक है
A penny for your thoughts,Tell me what you're thinking,A penny for your thoughts,आपके विचारों के लिए एक पेन
A penny saved is a penny earned,Money you save today you can spend later,A penny saved is a penny earned,एक पेन बचाया है एक पेन कमाया है
A perfect storm,the worst possible situation,A perfect storm,सही तूफान
A picture is worth 1000 words,Better to show than tell,A picture is worth 1000 words,एक तस्वीर 1000 शब्दों के लायक है
Actions speak louder than words,Believe what people do and not what they say,Actions speak louder than words,कार्य शब्दों की तुलना में अधिक जोर से बोलते हैं
Add insult to injury,To make a bad situation worse,Add insult to injury,चोट के लिए अपमान जोड़ें
Barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place",Barking up the wrong tree,गलत पेड़ को उतारना
Birds of a feather flock together,People who are alike are often friends (usually used negatively),Birds of a feather flock together,एक पंख के पक्षी एक साथ घूमते हैं
Bite off more than you can chew,Take on a project that you cannot finish,Bite off more than you can chew,आप जो कर सकते हैं उससे अधिक काटें
Break the ice,Make people feel more comfortable,Break the ice,आइसक्रीम तोड़ना
By the skin of your teeth,Just barely,By the skin of your teeth,अपने दांतों की त्वचा से
Comparing apples to oranges,Comparing two things that cannot be compared,Comparing apples to oranges,सेब और नारंगी की तुलना करें
Costs an arm and a leg,Very expensive,Costs an arm and a leg,एक हाथ और एक पैर की कीमत
Do something at the drop of a hat,Do something without having planned beforehand,Do something at the drop of a hat,एक टोपी के झटके पर कुछ करें
Do unto others as you would have them do unto you,"Treat people fairly. Also known as ""The Golden Rule""",Do unto others as you would have them do unto you,दूसरों के साथ ऐसा ही करें जैसा आप चाहते हैं कि वे आपके साथ करें
Don't count your chickens before they hatch,Don't count on something good happening until it's happened.,Don't count your chickens before they hatch,अपने चिकनों को हिट करने से पहले गिनती न करें
Don't cry over spilt milk,There's no reason to complain about something that can't be fixed,Don't cry over spilt milk,दूध के बारे में रोने की कोशिश न करें
Don't give up your day job,You're not very good at this,Don't give up your day job,अपने दिन के काम को न छोड़ें
Don't put all your eggs in one basket,What you're doing is too risky,Don't put all your eggs in one basket,अपने सभी अंडे को एक कटोरे में न डालें
Every cloud has a silver lining,Good things come after bad things,Every cloud has a silver lining,हर बादल में एक चांदी की छड़ी होती है।
Get a taste of your own medicine,Get treated the way you've been treating others (negative),Get a taste of your own medicine,अपने दवा का स्वाद लें
Give someone the cold shoulder,Ignore someone,Give someone the cold shoulder,किसी को ठंडा कंधे दें
Go on a wild goose chase,To do something pointless,Go on a wild goose chase,एक जंगली गोजी शिकार पर जाओ
Good things come to those who wait,Be patient,Good things come to those who wait,अच्छी चीजें उन लोगों के लिए आती हैं जो इंतजार करते हैं
He has bigger fish to fry,He has bigger things to take care of than what we are talking about now,He has bigger fish to fry,मछली पकड़ने के लिए बड़ा है
He's a chip off the old block,The son is like the father,He's a chip off the old block,वह पुराने ब्लॉक से एक चिप है
Hit the nail on the head,Get something exactly right,Hit the nail on the head,सिर पर नाखून को हिट करें
Ignorance is bliss,You're better off not knowing,Ignorance is bliss,अज्ञानता सुख है
It ain't over till the fat lady sings,This isn't over yet,It ain't over till the fat lady sings,यह तब तक नहीं चलेगा जब तक कि वसा महिला गाती है
It takes one to know one,You're just as bad as I am,It takes one to know one,एक को जानने की जरूरत है
It's a piece of cake,It's easy,It's a piece of cake,यह एक टुकड़ा केक है
It's raining cats and dogs,It's raining hard,It's raining cats and dogs,यह बारिश है बिल्लियों और कुत्तों
Kill two birds with one stone,Get two things done with a single action,Kill two birds with one stone,एक पत्थर के साथ दो पक्षियों को मारो
Let the cat out of the bag,Give away a secret,Let the cat out of the bag,बिल्ली को बैग से बाहर निकालें
Live and learn,I made a mistake,Live and learn,जीना और सीखना
Look before you leap,Take only calculated risks,Look before you leap,कूदने से पहले देखें
On thin ice,"On probation. If you make another mistake, there will be trouble.",On thin ice,छोटे बर्फ पर
Once in a blue moon,Rarely,Once in a blue moon,एक बार नीले चंद्रमा में
Play devil's advocate,"To argue the opposite, just for the sake of argument",Play devil's advocate,शैतान के वकील का खेल
Put something on ice,Put a projet on hold,Put something on ice,आइसक्रीम पर कुछ रखें
Rain on someone's parade,To spoil something,Rain on someone's parade,किसी की प्रदर्शनी में बारिश
Saving for a rainy day,Saving money for later,Saving for a rainy day,एक बारिश के दिन के लिए बचत
Slow and steady wins the race,Reliability is more important than speed,Slow and steady wins the race,धीरे-धीरे और स्थिर दौड़ जीतता है
Spill the beans,Give away a secret,Spill the beans,बीन्स खेलते हैं
Take a rain check,Postpone a plan,Take a rain check,बारिश की जांच करें
Take it with a grain of salt,Don’t take it too seriously,Take it with a grain of salt,इसे एक नमक के अनाज के साथ लें
The ball is in your court,It's your decision,The ball is in your court,गेंद आपके अदालत में है
The best thing since sliced bread,A really good invention,The best thing since sliced bread,रोटी के बाद सबसे अच्छी चीज
The devil is in the details,"It looks good from a distance, but when you look closer, there are problems",The devil is in the details,शैतान विवरण में है
The early bird gets the worm,The first people who arrive will get the best stuff,The early bird gets the worm,शुरुआती पक्षी को चमगादड़ मिलती है
The elephant in the room,"The big issue, the problem people are avoiding",The elephant in the room,कमरे में हाथी
The whole nine yards,"Everything, all the way.",The whole nine yards,कुल 9 जार
There are other fish in the sea,It's ok to miss this opportunity. Others will arise.,There are other fish in the sea,समुद्र में अन्य मछलियां हैं।
There's a method to his madness,He seems crazy but actually he's clever,There's a method to his madness,उसके पागलपन के लिए एक तरीका है
There's no such thing as a free lunch,Nothing is entirely free,There's no such thing as a free lunch,एक मुफ्त दोपहर का भोजन के रूप में कुछ भी नहीं है
Throw caution to the wind,Take a risk,Throw caution to the wind,हवा से सावधान रहें
You can't have your cake and eat it too,You can't have everything,You can't have your cake and eat it too,आप अपने केक नहीं ले सकते और इसे भी खा सकते हैं
You can't judge a book by its cover,"This person or thing may look bad, but it's good inside",You can't judge a book by its cover,आप एक किताब को उसके कवर से न्याय नहीं कर सकते
A little learning is a dangerous thing,People who don't understand something fully are dangerous,A little learning is a dangerous thing,थोड़ा सीखना एक खतरनाक बात है
A snowball effect,Events have momentum and build upon each other,A snowball effect,स्नोबॉल प्रभाव
A snowball's chance in hell,No chance at all,A snowball's chance in hell,नरक में स्नोबॉल का मौका
A stitch in time saves nine,Fix the problem now because it will get worse later,A stitch in time saves nine,समय में एक स्टिक नौ बचाता है
A storm in a teacup,A big fuss about a small problem,A storm in a teacup,एक चाय में तूफान
An apple a day keeps the doctor away,Apples are good for you,An apple a day keeps the doctor away,एक दिन में एक सेब डॉक्टर को दूर रखता है
An ounce of prevention is worth a pound of cure,You can prevent a problem with little effort. Fixing it later is harder.,An ounce of prevention is worth a pound of cure,एक औंस रोकथाम एक पाउंड उपचार के लायक है
As right as rain,Perfect,As right as rain,बारिश के रूप में सही
Bolt from the blue,Something that happened without warning,Bolt from the blue,ब्लू से बोल्ड
Burn bridges,Destroy relationships,Burn bridges,जलती हुई पुल
Calm before the storm,"Something bad is coming, but right now it's calm",Calm before the storm,तूफान से पहले शांत
Come rain or shine,No matter what,Come rain or shine,बारिश या चमक
Curiosity killed the cat,Stop asking questions,Curiosity killed the cat,Curiosity ने बिल्ली को मार डाला
Cut the mustard,Do a good job,Cut the mustard,मस्जिद को काटें
Don't beat a dead horse,"Move on, this subject is over",Don't beat a dead horse,एक मृत घोड़े को न मारो
Every dog has his day,Everyone gets a chance at least once,Every dog has his day,हर कुत्ते का अपना दिन है
Familiarity breeds contempt,The better you know someone the less you like him,Familiarity breeds contempt,रिश्तेदारों को नफरत
Fit as a fiddle,In good health,Fit as a fiddle,Fiddle के रूप में फिट
Fortune favours the bold,Take risks,Fortune favours the bold,भाग्य को दयालु बनाता है
Get a second wind,Have more energy after having been tired,Get a second wind,एक दूसरा हवा
Get wind of something,Hear news of something secret,Get wind of something,किसी चीज का हवा
Go down in flames,Fail spectacularly,Go down in flames,आग में उतरना
Haste makes waste,You'll make mistakes if you rush through something,Haste makes waste,गंदगी बर्बाद करती है
Have your head in the clouds,Not be concentrating,Have your head in the clouds,अपने सिर को बादलों में रखें
He who laughs last laughs loudest,I'll get you back for what you did,He who laughs last laughs loudest,जो हँसता है वह आखिरी हँसता है
Hear something straight from the horse's mouth,Hear something from the person involved,Hear something straight from the horse's mouth,घोड़े के मुंह से सीधे कुछ सुनो
He's not playing with a full deck,He's dumb,He's not playing with a full deck,वह एक पूर्ण डेक के साथ नहीं खेलता है
He's off his rocker,He's crazy,He's off his rocker,वह अपने रॉकर से बाहर है
He's sitting on the fence,He can't make up his mind,He's sitting on the fence,वह गड्ढे पर बैठा है
It is a poor workman who blames his tools,"If you can't do the job, don't blame it on others",It is a poor workman who blames his tools,यह एक गरीब कार्यकर्ता है जो अपने उपकरणों को दोषी ठहराता है
It is always darkest before the dawn,Things are going to get better,It is always darkest before the dawn,सूर्योदय से पहले हमेशा अंधेरा होता है
It takes two to tango,One person alone isn't responsible. Both people are involved.,It takes two to tango,टैंगो के लिए दो की जरूरत है
Jump on the bandwagon,"Follow a trend, do what everyone else is doing",Jump on the bandwagon,बैंडवागन पर कूद
Know which way the wind is blowing,Understand the situation (usually negative),Know which way the wind is blowing,आइए जानते हैं कि हवा किस तरह बह रही है।
Leave no stone unturned,Look everywhere,Leave no stone unturned,कोई पत्थर न छोड़ें
Let sleeping dogs lie,Stop discussing an issue,Let sleeping dogs lie,कुत्तों को झूठ बोलना
Like riding a bicycle,Something you never forget how to do,Like riding a bicycle,एक साइकिल चलाने की तरह
Like two peas in a pod,They're always together,Like two peas in a pod,एक पॉड में दो पेस की तरह
Make hay while the sun shines,Take advantage of a good situation,Make hay while the sun shines,जब तक सूरज चमकता है
On cloud nine,Very happy,On cloud nine,क्लाउड 9
"Once bitten, twice shy",You're more cautious when you've been hurt before,"Once bitten, twice shy","एक बार चुंबन, दो बार शिकायत"
Out of the frying pan and into the fire,Things are going from bad to worse,Out of the frying pan and into the fire,अग्नि से बाहर और आग में
Run like the wind,Run fast,Run like the wind,हवा की तरह चलना
Shape up or ship out,Work better or leave,Shape up or ship out,उतरना या बाहर निकलना
Snowed under,Busy,Snowed under,नीचे बर्फ
That ship has sailed,It's too late,That ship has sailed,इस जहाज को तोड़ दिया गया है
The pot calling the kettle black,Someone criticizing someone else he is just as bad,The pot calling the kettle black,कटोरे का नाम है काले कटोरे
There are clouds on the horizon,Trouble is coming,There are clouds on the horizon,क्षितिज पर बादल हैं
Those who live in glass houses shouldn't throw stones,People who are morally questionable shouldn't criticize others,Those who live in glass houses shouldn't throw stones,जो लोग ग्लास के घरों में रहते हैं उन्हें पत्थर नहीं फेंकना चाहिए
Through thick and thin,In good times and in bad times,Through thick and thin,मोटी और पतली के माध्यम से
Time is money,Work quickly,Time is money,समय पैसा है
"Waste not, want not",Don't waste things and you'll always have enough,"Waste not, want not","नहीं चाहता, नहीं चाहता, नहीं चाहता"
We see eye to eye,We agree,We see eye to eye,हम आँख से आँख देखते हैं
Weather the storm,Go through something difficult,Weather the storm,तूफान का मौसम
Well begun is half done,Getting a good start is important,Well begun is half done,शुरुआत आधा हो गई है।
When it rains it pours,Everything is going wrong at once,When it rains it pours,जब बारिश हो जाती है तो
You can catch more flies with honey than you can with vinegar,You'll get what you want by being nice,You can catch more flies with honey than you can with vinegar,आप शहद के साथ आप कर सकते हैं की तुलना में अधिक फ्लेश पकड़ सकते हैं
"You can lead a horse to water, but you can't make him drink",You can't force someone to make the right decision,"You can lead a horse to water, but you can't make him drink","आप एक घोड़े को पानी में ले जा सकते हैं, लेकिन आप उसे पीने के लिए नहीं कर सकते हैं"
You can't make an omelet without breaking some eggs,There's always a cost to doing something,You can't make an omelet without breaking some eggs,आप कुछ अंडे तोड़ने के बिना एक ओमेलेट नहीं बना सकते हैं
